"Sources: Current Population Survey, Bureau of Labor Statistics, and Federal Reserve Bank of Atlanta Calculations. 
Data updates can be found at https://www.frbatlanta/chcs/wage-growth-tracker. ",,,,,,,,,
The data are 12 month moving averages of monthly median wage growth for each category,,,,,,,,,
,16-24,25-54,55+,Overall,,,,,
4/1/15,6.4,3.1,1.7,2.9,,,,,
5/1/15,6.3,3.1,1.7,2.9,,,,,
6/1/15,6.2,3.2,1.9,3.0,,,,,
7/1/15,6.2,3.3,2.0,3.1,,,,,
8/1/15,6.3,3.3,1.9,3.1,,,,,
9/1/15,6.2,3.3,1.9,3.1,,,,,
10/1/15,6.4,3.3,1.9,3.1,,,,,
11/1/15,6.4,3.4,1.9,3.1,,,,,
12/1/15,6.8,3.4,1.9,3.1,,,,,
1/1/16,6.6,3.4,1.8,3.1,,,,,
2/1/16,7.0,3.5,1.7,3.2,,,,,
3/1/16,7.0,3.4,1.8,3.1,,,,,
4/1/16,7.2,3.4,1.8,3.1,,,,,
5/1/16,7.5,3.5,1.9,3.2,,,,,
6/1/16,7.7,3.5,1.9,3.2,,,,,
7/1/16,7.7,3.4,2.0,3.2,,,,,
8/1/16,7.7,3.5,2.1,3.3,,,,,
9/1/16,8.1,3.6,2.2,3.4,,,,,
10/1/16,8.1,3.7,2.2,3.5,,,,,
11/1/16,8.4,3.7,2.2,3.5,,,,,
12/1/16,8.1,3.7,2.3,3.5,,,,,
1/1/17,8.0,3.7,2.3,3.5,,,,,
2/1/17,7.6,3.7,2.3,3.5,,,,,
3/1/17,7.4,3.8,2.2,3.5,,,,,
4/1/17,7.5,3.8,2.2,3.5,,,,,
5/1/17,7.3,3.7,2.1,3.5,,,,,
6/1/17,7.6,3.7,2.1,3.4,,,,,
7/1/17,7.8,3.8,2.0,3.5,,,,,
8/1/17,7.7,3.7,2.0,3.5,,,,,
9/1/17,7.5,3.7,2.0,3.4,,,,,
10/1/17,7.2,3.6,2.0,3.3,,,,,
11/1/17,7.1,3.6,2.0,3.3,,,,,
12/1/17,7.2,3.6,1.9,3.3,,,,,
1/1/18,7.3,3.6,1.9,3.3,,,,,
2/1/18,7.5,3.5,1.9,3.2,,,,,
3/1/18,7.5,3.5,2.0,3.2,,,,,
4/1/18,7.1,3.4,2.0,3.2,,,,,
5/1/18,7.1,3.4,2.0,3.2,,,,,
6/1/18,7.0,3.5,2.1,3.3,,,,,
7/1/18,6.6,3.5,2.0,3.2,,,,,
8/1/18,6.6,3.5,2.0,3.2,,,,,
9/1/18,6.5,3.5,2.0,3.2,,,,,
10/1/18,6.7,3.5,2.0,3.3,,,,,
11/1/18,6.4,3.6,2.2,3.4,,,,,
12/1/18,6.4,3.7,2.2,3.5,,,,,
1/1/19,6.5,3.7,2.3,3.5,,,,,
